prioridad,source_row_number,legajo_canonico,ubicacion,match_method,match_count,confidence,location_verification_status,address_geocode_status,reason
alta,167,163,Bernard N° 671,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,169,165,Avda. Urquiza N° 769,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,171,167,Piamonte N° 650,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,172,168,12 de Abril  N° 1186,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,174,170,Bvard Gaillard N° 252 esq Sarmiento,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,176,171,9 de Mayo N°   323,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,180,175,"Reibel N° 161, 163, 165",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,186,180,Avda. Paysandú Nº 657,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,188,181,"Batalla de Cepeda Nº204, 206, esq Lavalle",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,189,182,Bolívar Nº 87,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,192,184,Bvard. Güemes N° 252,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,193,185,"Bvard. Güemes N° 252, esq. Tucumán",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,194,186,Tucumán y Leguizamón Nº 244,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,196,188,L. N. Alem Nº 17 esq.12 de Abril,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,200,192,Belgrano N° 582,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,201,191,Avda Paysandú N° 262 - 268,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,205,196,3 de Febrero Nº 606,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,206,195,Bvard Ferrari Nº 1183,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,207,197,Chacabuco Nº 292,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,208,198,"9 de Julio Nº 302, 304, 306, 308, 310, 312 y 314 y Paso de los Andes",none,0,low,verified_close,matched_ign,no_cadastral_match
media,7,5,9 de Julio N° 68,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,26,23,Calle Pública s/N° - Los Bretes,manz_parc,23,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,28,25,"Ruta N° 14, km",manz_parc,22,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,35,31,"Lavalle N° 122, 122",gru_parc,11,low,review_large_gap,matched_ign,ambiguous_match_by_gru_parc
media,38,34,Raibel N° 780 esq Leguizamón,gru_parc,3,low,missing_address_point,no_ign_match,ambiguous_match_by_gru_parc
media,42,38,Mitre N° 776,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,47,43,Primeros Colonos esq. Calle Pública,gru_parc,2,low,missing_address_point,no_ign_match,ambiguous_match_by_gru_parc
media,48,44,Calle Jacarandaes s/Nº - Los Bretes,manz_parc,20,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,59,55,Alvear N° 321,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,62,58,Bolìvar Nº 435,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,64,60,Reibel N° 636,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,84,80,Avda. Pte. Perón N° 296,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,88,84,12 de Abril N° 850,manz_parc,4,low,verified_close,matched_ign,ambiguous_match_by_manz_parc
media,91,85,Calle Privada Jacarandaes s/N° ( Los Bretes),manz_parc,17,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,104,100,Mitre N° 776,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
