prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
alta,geolocalizacion,174,170,"mail, 557632",Bvard Gaillard N° 252 esq Sarmiento,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,176,171,"mail, 557847",9 de Mayo N°   323,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,180,175,"mail, 558172","Reibel N° 161, 163, 165",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,186,180,"MAIL, 557967",Avda. Paysandú Nº 657,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,188,181,"mail, 558287","Batalla de Cepeda Nº204, 206, esq Lavalle",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,189,182,556068,Bolívar Nº 87,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,192,184,538247,Bvard. Güemes N° 252,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,193,185,"mail, 538247","Bvard. Güemes N° 252, esq. Tucumán",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,194,186,557787,Tucumán y Leguizamón Nº 244,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,196,188,"mail, 555678",L. N. Alem Nº 17 esq.12 de Abril,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,200,192,556856,Belgrano N° 582,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,201,191,"mail, 558527",Avda Paysandú N° 262 - 268,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,205,196,558753,3 de Febrero Nº 606,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,206,195,558094,Bvard Ferrari Nº 1183,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
